Restaurant,Author,Rating,Review,Processed Review,sentiment_textblob,sentiment_vader,ActualSentiment
Mr Dakgalbi @ IOI City Mall,Emelda Jamel,4,"Delish dishes, large portions, a tad on the pricey side. You can claim freebies by collecting stamps every time you visit. Downside is, the smell from the restaurant will probably stick to your clothes. 😅 …",delish dish large portion tad pricey side claim freebie collecting stamp every time visit downside smell restaurant probably stick clothes,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,yee yanyu,5,My favourite Korean food chain restaurant. Getting my 14th mileage coupon today and I'm gonna enjoy my FOC dakgalbi during next visit! Brought my family and friends over here many round for various occasion.,favourite korean food chain restaurant getting 14th mileage coupon today gon na enjoy foc dakgalbi next visit brought family friend many round various occasion,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Aqil Nurzafri,5,"Nice selection of food choice here, 1st time trying here",nice selection food choice 1st time trying,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Sameerah Tahir,5,"Yummy food and fast service! Among our fav branch of mr dakgalbi. Huge portion of food. 1 portion can eat for 2-3 people. Currently there's promo. If you write review on google, can get 1 free ramen 😍 …",yummy food fast service among fav branch mr dakgalbi huge portion food 1 portion eat people currently promo write review google get 1 free ramen,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Suzana Ibrahim,5,"Nice n cozy Korean food for u to try. My kiddos favorite place to hang out. They love the food here. Simple n comfortable eating area. They s
Cooked for u. When's ready, u just eat it.",nice n cozy korean food u try kiddos favorite place hang love food simple n comfortable eating area cooked ready u eat,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,randy low,3,"During the staff cooking all the sauce spill out from the plate , luckily im not wearing formal wear or bring my luxury bag

No lattuce haiz sad",staff cooking sauce spill plate luckily im wearing formal wear bring luxury bag lattuce haiz sad,negative,positive,neutral
Mr Dakgalbi @ IOI City Mall,Nur Ajeerah,5,its the best place to enjoying ur food 😋😋 the services they give to us also very the superrrrr,best place enjoying ur food service give u also superrrrr,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,nur daeman,5,"its my first time to get here, the atmosphere is nice and not crowded",first time get atmosphere nice crowded,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Nurul Bazlaa' Sadikin,4,"The portion is quite big, we ordered for 2-3 pax but was enough for 4 sharing. The food was delicious and I can taste the authentic Korean flavour. The cheese ring is a must if you are a cheese lover.",portion quite big ordered pax enough 4 sharing food delicious taste authentic korean flavour cheese ring must cheese lover,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,ain qurratul,5,"Nice place to enjoy with friends , prices quite affordable and delicious",nice place enjoy friend price quite affordable delicious,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,wan nadia,5,Excellent services. Their staff name Shipon is a good staff👍👍👍 will repeat,excellent service staff name shipon good repeat,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Nur Amirah,5,Nice food and have a friendly staff at here!!,nice food friendly staff,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Jason Ong,5,"Best dakgalbi i ever eat , come in big portion😋 …",best dakgalbi ever eat come big,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Saowanee Krobthong,1,The service staff is very bad. They look lazy I called out to them and they turned away. Even though he saw…,service staff bad look lazy called turned away even though,negative,negative,negative
Mr Dakgalbi @ IOI City Mall,Anis atiqah,5,Amazing ambience and always love the food..❤️❤️❤️❤️ Always being a regular customer with my mom 💕 …,amazing ambience always love food always regular customer mom,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,muhammad syazran,5,"Very good ambience, scrummy variety of food overall absolutely satisfied",good ambience scrummy variety food overall absolutely satisfied,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Zack Dzikhry,1,"Staff was very rude. I simply made a comment regarding the food and he just said that it's suppose to taste like that which is ridiculous as all the branch the fried rice didnt taste that way. After he replied,he just left without even apologizing. Very bad and will definitely not come back to this branch ever. I cant believe i paid 6% service tax to get this kind of service. Very dissapointed. First and last definitely.",staff rude simply made comment regarding food said suppose taste like ridiculous branch fried rice didnt taste way replied left without even apologizing bad definitely come back branch ever cant believe paid 6 service tax get kind service dissapointed first last definitely,negative,positive,negative
Mr Dakgalbi @ IOI City Mall,Q light,5,my first time trying dakgalbi and will sure gonna come again ! Such a nice and new experience 😁 …,first time trying dakgalbi sure gon na come nice new experience,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Tan Yung Chie,5,"I missed Dalgalbi since back from Korea.
Luckily we have Mr. Dalgalbi in Malaysia",missed dalgalbi since back korea luckily dalgalbi malaysia,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Adura Eydanyz,5,The best ever! Usual spot and the staff is also friendly,best ever usual spot staff also friendly,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Syafini Zairen,5,It's worth it though... Lagu best,worth though lagu best,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Leon Lim,1,"This is my first time dining at IoI putrajaya but not first time try Mr dakgalbi, but I wont come again this branch.
staff cooking very rude,The food sauce sprayed all over the place, the table, dishes, our hands and even my shirt, but the staff didn't ease his movement, after cook just left.
how can I have a good mood to having the food?
food is just normal but the service really oops👋🏻",first time dining ioi putrajaya first time try mr dakgalbi wont come branch staff cooking rude food sauce sprayed place table dish hand even shirt staff ease movement cook left good mood food food normal service really,positive,positive,negative
Mr Dakgalbi @ IOI City Mall,Rockpaperwater Scissor,5,"The best Dakgalbi in town, couldn’t find a more authentic korean flavor than this. Have been eating here for few years and the taste always the same!",best dakgalbi town find authentic korean flavor eating year taste always,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,WhoDa K.,4,Almost always full during the weekends. Not much variety probably due to the overwhelming customers. But the service is okay. They try their best to serve well. I like the choice where we get to order a jug of drink for our table because we were over with 4 people. Atmosphere is a bit hot probably being fullhouse most of the time. Overall was okay.,almost always full weekend much variety probably due overwhelming customer service okay try best serve well like choice get order jug drink table 4 people atmosphere bit hot probably fullhouse time overall okay,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,teuku ruff,5,"I like fried rice the most.Sweet and sour.
For drink, better order for one jug..we can save a lot instead oder drink each",like fried rice sour drink better order one jug save lot instead oder drink,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Kamarul Arifin,5,Nice place to eat with family. Nice service by the staff.. Very recomended.. Nice food as well.. Free 1 ramen for a review.. Thanksssss 😘😘😘😘 …,nice place eat family nice service staff recomended nice food well free 1 ramen review thanks,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,shariful islam,5,"Excellent service from the server Shamol..He was very attentiveduring our meals,kept coming back to check if everything was fine with our meals... and also kept everything meat at our  table once our meals wear done...we are very pleased with his service and would recommended him for a Promotion at this outlet...Tnq shamol for your service...You are awesome... Keep it up",excellent service server shamol attentiveduring meal kept coming back check everything fine meal also kept everything meat table meal wear done pleased service would recommended promotion outlet tnq shamol service awesome keep,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,sarra love,5,The best service and food is nice 👌 …,best service food nice,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Dzarif Asmawi,5,Great views while enjoying great food prepared by friendly staffs. Would come again.,great view enjoying great food prepared friendly staff would come,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Hayley Shao Heng,5,Nice place the service and the food is all nice. Overall all good!,nice place service food nice overall good,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,NURUL NABILA KHAIRUL ANUAR,5,Really happy to be served by Mr. Shipon. Thank you for your services. 😁 …,really happy served shipon thank service,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Azul Tarmizi (Azrul),4,Timing needs to be perfect so that the waiting time is short.,timing need perfect waiting time short,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,yasmeen r,5,"This restaurant is the best..!
I love the food...
Thank you to their awesome waiter, shipon, very helpful...",restaurant best love food thank awesome waiter shipon helpful,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,iwanasyhdh,5,"Fried rice is soooooo delicious!! The man who served us,mr shipon is nice and fine with our request 😭 we wanted less spicy :3 definitely will come here again!! ❤️",fried rice soooooo delicious man served u mr shipon nice fine request wanted le spicy definitely come,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,angeline tok,1,I order fried chicken at 8.30am and i wait until9.15..when i ask at 9.15am they told me forget dy and kitchen is closed..what is ur business hour?,order fried chicken wait ask told forget dy kitchen closed ur business hour,negative,negative,negative
Mr Dakgalbi @ IOI City Mall,Alia Natasya,5,"All foods here suits my taste well! In love with the ambiance. The workers are very helpful as they are very polite to their workers. Other than that I am a big Korean Pop fan, the songs that are played here are my fav! I give it a 1000 stars out of 5 😘😘 …",food suit taste well love ambiance worker helpful polite worker big korean pop fan song played fav give 1000 star 5,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Nur Ili Afiqah Azzemi,1,The side dish is lesser than previous year. The staff is soo rude. Just asking for the side dish but he ignored. They let the food burnt and the staff scolding us for removing the burnt part of dishes. That guy is getting rude. Teach your staff how to treat customers better.,side dish lesser previous year staff soo rude asking side dish ignored let food burnt staff scolding u removing burnt part dish guy getting rude teach staff treat customer better,negative,negative,negative
Mr Dakgalbi @ IOI City Mall,JUJUBEE KIM,5,The best korean restaurant in malaysia!! 존맛탱,best korean restaurant malaysia 존맛탱,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,kenny chia,1,"Poor service. Everyone who came in after us had already started eating, and we? Leave our food on the table! The waiter moved on to something else. After sitting for so long, my orange juice would not be delivered first and would be given to us by mistake. The shop is not busy, plus we only have 3 tables, if you really do not want to serve then why in the service industry here?
And please don't put on a face don't know what the appearance of let me see!
Thank you very much!",poor service everyone came u already started eating leave food table waiter moved something else sitting long orange juice would delivered first would given u mistake shop busy plus 3 table really want serve service industry please put face know appearance let see thank much,positive,negative,negative
Mr Dakgalbi @ IOI City Mall,Farah Liyana,5,Mr.dakgalbi taste original. The kimchi was very good.,taste original kimchi good,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Wahyu balqis Wahidin,5,Every month pergi mrdakgalbi to fulfill my craving 😊 all staff very nice especially arif.Very good service from him.He very friendly and always serve with smile. Every time we came he always give us a warm welcome 👍🏻,every month pergi mrdakgalbi fulfill craving staff nice especially good service friendly always serve smile every time came always give u warm welcome,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,humzz atzz,5,"Paying a visit with an empty stomach is definitely worth the wait. As I was shuffling along the street, the smell of the cooked dakgalbi captivated me. It is none other than the long-awaited Mr.Dakgalbi. The ambience is great compared to other outlets I have visited. Worth the shot if you guys have not visited this Korean restaurant!",paying visit empty stomach definitely worth wait shuffling along street smell cooked dakgalbi captivated none ambience great compared outlet visited worth shot guy visited korean restaurant,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,yj lim,5,"Considered spacious and can accommodate a lot of people. Fast service. Free cold water and side dishes of Kim chi, mashed potatoes and cabbage.

P/s: If you write a review on Google, you'll entitled for 1 free ramen. Like I did 😂",considered spacious accommodate lot people fast service free cold water side dish kim chi mashed potato cabbage write review google entitled 1 free ramen like,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Lim Kx,1,"Horrible experience. RM65 for 2pax, barely any chicken, no topokki at all, barely any Vege, just rice and noodle, super sweet as well. Not worth it at all. Second visit today and it reminds me of how bad it was the first time I came.",horrible experience rm65 2pax barely chicken topokki barely vege rice noodle super sweet well worth second visit today reminds bad first time came,negative,positive,negative
Mr Dakgalbi @ IOI City Mall,Ezzat Emir,5,Their fried rice is the best for Korean style!,fried rice best korean style,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,KY,1,"Not worth the price. Rm65 for rice, ramen, cheese , little bit of chicken, no toppoki and barely see any vege. Frequented other outlet before with lots of cabbage and chicken. This is disappointing.
Taste extremely sweet for both rice n ramen.",worth price rm65 rice ramen cheese little bit chicken toppoki barely see vege frequented outlet lot cabbage chicken disappointing taste extremely sweet rice n ramen,negative,positive,negative
Mr Dakgalbi @ IOI City Mall,Aaron Cxw,1,"Extremely terrible service. Closed 9pm????? 9pm told us closed, just give a hand sign from the kitchen and continue talk with other staff, not even bother to come over and tell? and 9pm closed seriously?",extremely terrible service closed 9pm 9pm told u closed give hand sign kitchen continue talk staff even bother come tell 9pm closed seriously,negative,negative,negative
Mr Dakgalbi @ IOI City Mall,Khairiyah Mustapha,4,"Feels like eating korean food so we went here to get our Dakgalbi fix. Waiter was prompt, menu is diverse, and the ingredients are fresh. Hygiene and cleanliness is commendable. Overall a good experience.",feel like eating korean food went get dakgalbi fix waiter prompt menu diverse ingredient fresh hygiene cleanliness commendable overall good experience,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Incognito,2,"Mr Dakgalbi IOI City Mall. We had several time having our dinner here but this is the worst. Food tasted ok but the services are poor. The new workers does not understand neither English or Malay. They always looked confuse and even did not know what is the purpose of having mileage coupon. You will still be charged for the supposedly free item listed in the coupon. This is despite my earlier request to claim my 9th mileage (the free noodle/ramyeon) during ordering time but the staff unable to understand the local language insist the food is not claimable. My suggestion, pls train the new staff and brief them properly including the purpose of mileage coupon especially the new cashier who knows nothing about the coupon. Even he asked the other workers about it and they ended up arguing with each others. Will not return to the shop if the same worker remains. Pls get someone who is capable speaking basic English and friendly to customer working as cashier.",mr dakgalbi ioi city mall several time dinner worst food tasted ok service poor new worker understand neither english malay always looked confuse even know purpose mileage coupon still charged supposedly free item listed coupon despite earlier request claim 9th mileage free ordering time staff unable understand local language insist food claimable suggestion pls train new staff brief properly including purpose mileage coupon especially new cashier know nothing coupon even asked worker ended arguing others return shop worker remains pls get someone capable speaking basic english friendly customer working cashier,positive,positive,negative
Mr Dakgalbi @ IOI City Mall,Amanda Jones,5,Love that they still cook it in front of you!! Unlike other outlets I have been to recently.,love still cook front unlike outlet recently,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,wan nor Afiah,5,The portion is big enough and delicious we always had a great time everytime we eat here. The environment here is excellent with the interesting kpop music. Great service and it is highly recomended for those who like to eat korean food. Love it !!!!,portion big enough delicious always great time everytime eat environment excellent interesting kpop music great service highly recomended like eat korean food love,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,PUTRI SYAZLIQA AFFEA BINTI SIRAJUDDIN,5,"The staffs here are all very friendly & attentive to customers. The service is fast and most importantly, the food tastes amazing! Will definitely come back here 🥰 …",staff friendly attentive customer service fast importantly food taste amazing definitely come back,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,오종식,5,This is the far the most satisfying Mr.Dakgalbi in KL. The staffs were friendly enough to serve me with their smile while the food itself boasts freshness. Highly recommended if you are looking for restaurant nearby the airport.,far satisfying kl staff friendly enough serve smile food boast freshness highly recommended looking restaurant nearby airport,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Sabuz 75k,5,This is the best korean food stall in Malaysia with korean spicy and pan grilled chicken.,best korean food stall malaysia korean spicy pan grilled chicken,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Ohsem Mantul,5,Loved the food..,loved food,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,anisah mohd,1,"The service is poor. We went there yesterday to order take away food but the staff who was in front of the counter did not even asked us what we want to order as he was on the phone. We thought that after he put down the phone, he will entertain us but he went inside to wipe the table. Horrible customer service as I was a fan of this Mr Dalgakbi outlet but sorry to say, I’m not coming again to this outlet.",service poor went yesterday order take away food staff front counter even asked u want order phone thought put phone entertain u went inside wipe table horrible customer service fan mr dalgakbi outlet sorry say coming outlet,negative,negative,negative
Mr Dakgalbi @ IOI City Mall,imaneldin,5,"very friendly staff here , speaks very politely and offers very helpful service , food is also very good",friendly staff speaks politely offer helpful service food also good,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,surendran ananthan,1,"Today i was too disappointed with the fried rice  since the taste is not as used to be delicious taste before and the side dish kimchi also given in small portion.
I think they change their sauces or else any other.
This is my suggestion to mr dakgalbi do not change the original taste.",today disappointed fried rice since taste used delicious taste side dish kimchi also given small portion think change sauce else suggestion mr dakgalbi change original taste,positive,positive,negative
Mr Dakgalbi @ IOI City Mall,Anis Faraadila,5,"Fast service, taste good, the diner is on outside of the mall, overall its good",fast service taste good diner outside mall overall good,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,BAE HYUNHO,5,"Clean, cool, tasty, fun, good service with good music. Everything is perfect here. Come try if you want to try some Korean cuisine. Acknowledged by native Korean. Trust me.",clean cool tasty fun good service good music everything perfect come try want try korean cuisine acknowledged native korean trust,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Aulia Pribadi Darwinsyah,1,Worst mr. Dakgalbi branch ever. The staff keep playing phone. Too lazy to cook/serve people. Asking for soup multiple times and it finally arrived. Best part the soup was cold. We ordered cheese ring and we have to wait another 10 minutes after they cook. And they just too lazy to cook ramen and rice separately. So they just cook it together. Should give them 0 star instead if I have option. #truestory,worst dakgalbi branch ever staff keep playing phone lazy people asking soup multiple time finally arrived best part soup cold ordered cheese ring wait another 10 minute cook lazy cook ramen rice separately cook together give 0 star instead option truestory,negative,negative,negative
Mr Dakgalbi @ IOI City Mall,kakeijun84,4,Just okay. Fried rice is quite good. But better if they provide salt & pepper or even chillies powder or flakes for customer to adjust to their likings.,okay fried rice quite good better provide salt pepper even chilli powder flake customer adjust liking,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Toh Emily,1,rude attitude，food was so bad ，talking rude and lcly,rude bad rude lcly,negative,negative,negative
Mr Dakgalbi @ IOI City Mall,MUHAMMAD DANISH HAIQAL BIN ZAHARI,5,"The service is great. Only the staff know how to make the taste similar to korean fried rice.
The restaurant is big, air-conditioning with nice songs play.",service great staff know make taste similar korean fried rice restaurant big nice song play,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Amirah Dzuliyana,5,Very nice place to eat with friends and the food was nice too. We get a friendly hospitality from Mr Shipon,nice place eat friend food nice get friendly hospitality mr shipon,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Nurellyana Natasha,5,good services with nice environments and view,good service nice environment view,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Nurshamimi Nabila,5,Fast service and clean environment. The staff named shipon gave us fast and really really good service.very friendly too. Recommended 💯 …,fast service clean environment staff named shipon gave u fast really really good friendly recommended,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Lim Jian Heng,5,The staffs here all very friendly. The service is fast and the food tastes amazing. Love chilling here! Strongly recommended,staff friendly service fast food taste amazing love chilling strongly recommended,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Anzzo Yeoh,4,"There is 1 stuff there really friendly, really nice. Although he was the only waiter, cashier  and cleaner. I admire him and support him only. Mr Dakgalbi, give him a raise or bonus.",1 stuff really friendly really nice although waiter cashier cleaner admire support mr dakgalbi give raise bonus,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,zahra leyna,4,Love it! Dakgalbi chicken fried rice & ramen...,love dakgalbi chicken fried rice ramen,negative,positive,positive
Mr Dakgalbi @ IOI City Mall,balqis Irdina,5,"Dakgalbi is one of my fav restaurant to go when I eat IOI City Mall. All of their food is delicious and satisfying. Furthermore, the service is very good. They  don't make us wait for a long time",dakgalbi one fav restaurant go eat ioi city mall food delicious satisfying furthermore service good make u wait long time,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Emily Xuan,5,"Good service and comfortable environment. Staff are friendly and will give recommendations to us. Besides that, side dishes are damnnnnnnnnnn delicious😍😍 …",good service comfortable environment staff friendly give recommendation u besides side dish damnnnnnnnnnn,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Noor Azura Mohd Hanifaah,5,Good service by Shipun. Very friendly and provide menu suggestions.,good service shipun friendly provide menu suggestion,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Amir Hakimi,5,"I'm satisfied with the food,its so good.Fast and good customer service. Clean place.",satisfied food good customer service clean place,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Komathi Nara,1,very bad service today its my 3th time here….but today the service is very very very bad….there was no customers in the shop yet the service was poor…we asked to pack the food he just came n chuck the plastic tupperware n left…..,bad service today 3th time today service customer shop yet service asked pack food came n chuck plastic tupperware n,negative,negative,negative
Mr Dakgalbi @ IOI City Mall,m.aiman faiz,5,Your food is very delicious and your services is always good for your customer. Recommended for all customer,food delicious service always good customer recommended customer,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,NUR ALINA,5,This shop serves a very nice and tasty food. The service is very fast and the staff are friendly too. Please come!,shop serf nice tasty food service fast staff friendly please come,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Sophia Sariat,5,"Nice place, food and friendly staff. Recommended.",nice place food friendly staff recommended,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,rizal xple,5,"Friendly staff,always smile and really helpful. The food is superb. Sadly,i want to give 10 stars,but maximum only 5.",friendly staff always smile really helpful food superb sadly want give 10 star maximum 5,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Afiq Manaf,5,First time here. Worth to try.,first time worth try,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Zuliana Zulkifly,5,The food here is very great. The best way to experience great Korean food in Malaysia. Would love to recommend this restaurant to my friends.,food great best way experience great korean food malaysia would love recommend restaurant friend,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Jojo A.R,4,Abit on higher price but overall food is good. Service is ok but maybe staffs can be abit proactive.I didnt know kimchi tasted that good until you try theirs.,abit higher price overall food good service ok maybe staff abit didnt know kimchi tasted good try,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Rabiatul Adawiyah,5,Clean and nice environment. The staffs are helpful. This is not our first time to dine in here but everything is still the same. 😊 …,clean nice environment staff helpful first time dine everything still,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Azmira Mohd Sukri,5,"Best place to eat with your friends. Food is delicious and good.
Fast response and delicious.

Write your review and get 1 free ramen 😋",best place eat friend food delicious good fast response delicious write review get 1 free ramen,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Zawaniah Brukan Ali,5,Fast service... waiter has very good memory even without writing... hahaha but nothing less is expected from these foreign workers...most of them are good at their job,fast service waiter good memory even without writing hahaha nothing le expected foreign worker good job,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Asyraf Yusof (말레남자),5,"They give a very helpful service with big portion on their food. Banchan is unlkmited and taste well.
Would definitely return to eat again 👍👍👍 …",give helpful service big portion food banchan unlkmited taste well would definitely return eat,neutral,positive,positive
Mr Dakgalbi @ IOI City Mall,swayfree lilac,5,Very nice place. Very clean too. Free cold water and some side dishes. Fried rice is very popular & delicious here. Recommended!🌟🌟🌟🌟🌟 …,nice place clean free cold water side dish fried rice popular delicious recommended,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,ROCKY VESTER ANAK RICHMOND / UPM,5,Love the environment eating here. Friendly staffs and good food. Weekend spent well. Must try,love environment eating friendly staff good food weekend spent well must try,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Amir Haziq,5,Good dishes. The restaurant is very clean. They serve very fast. Will come again next time 👍🏻 …,good dish restaurant clean serve fast come next time,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Fatimah Hazman,1,"Bad customer service. Especially their attitude. My partner and I just sit down and expect for menu, yet one of the waiter throw the menu onto the pot.. 😡 not even apolagize let alone feel wronged. …",bad customer service especially attitude partner sit expect menu yet one waiter throw menu onto pot even apolagize let alone feel wronged,negative,negative,negative
Mr Dakgalbi @ IOI City Mall,Farhan Amir,5,Great service by the staffs. Nice environment accompanied by Kpop songs. The taste are consistent everytime so i dont have to worry about the taste.,great service staff nice environment accompanied kpop song taste consistent everytime dont worry taste,positive,positive,positive
Mr Dakgalbi @ IOI City Mall,Aishah Hassan,5,"Everything is excellent, the food the service and even the atmosphere really cozy. Recommended for everyone! Love it!",everything excellent food service even atmosphere really cozy recommended everyone love,positive,positive,positive
